,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Total_Revolving_Bal,Contacts_Count_12_mon,Avg_Utilization_Ratio,Total_Relationship_Count,Months_Inactive_12_mon,Current_customer
5111,77,0.75,1219,3,0.146,3,3,y
1645,31,0.722,0,2,0.0,6,6,y
8055,83,0.66,2055,2,0.284,2,1,y
1935,47,1.136,0,3,0.0,5,4,y
7820,84,0.787,1869,2,0.544,3,1,y
8811,94,0.516,2128,2,0.248,1,1,y
4904,66,0.886,1993,3,0.305,6,2,y
7277,35,0.296,0,3,0.0,3,3,n
5682,50,0.471,1335,3,0.182,1,2,n
5778,94,0.741,1190,2,0.312,6,3,y
1714,76,0.81,1053,4,0.213,4,3,y
6970,50,0.389,2517,2,0.83,3,2,n
9179,91,0.978,1713,3,0.291,2,5,y
5293,76,0.854,1787,3,0.779,3,3,y
5418,50,0.923,0,1,0.0,1,3,n
6488,69,0.917,2066,2,0.882,6,3,y
6053,37,0.37,1267,3,0.518,3,3,n
8400,71,0.821,718,2,0.499,1,3,y
285,41,0.783,1274,0,0.238,2,1,y
6002,44,0.517,0,6,0.0,3,2,n
6801,49,0.531,275,6,0.169,4,3,n
9597,62,0.824,0,3,0.0,4,3,n
7410,55,0.897,0,1,0.0,3,3,n
3715,82,0.673,2025,2,0.312,6,1,y
9298,103,0.807,2295,3,0.079,1,3,y
6025,45,0.364,0,3,0.0,5,2,n
1974,58,0.611,1566,4,0.08,3,4,y
175,28,0.867,1777,2,0.171,5,2,y
4872,39,0.345,0,4,0.0,1,3,n
5811,32,0.185,1836,3,0.14,3,4,n
5931,40,0.429,0,3,0.0,5,3,n
6544,45,0.731,0,2,0.0,6,2,n
926,50,0.724,2517,2,0.094,6,3,y
1603,50,0.852,1201,3,0.14,5,2,y
9906,81,0.884,0,3,0.0,2,3,n
6660,43,0.536,0,2,0.0,4,2,n
2913,71,0.69,1583,2,0.118,4,3,y
6222,49,0.581,632,3,0.284,4,3,n
1007,30,0.875,1692,3,0.051,4,2,y
7686,37,0.542,1872,3,0.187,3,3,n
8825,54,0.588,1085,2,0.031,1,3,n
3375,63,1.032,2517,3,0.298,3,6,y
1233,62,0.632,1733,4,0.705,3,3,y
8030,86,0.72,1015,2,0.261,2,1,y
1174,37,0.609,1664,2,0.365,6,2,y
4862,68,0.789,1894,2,0.744,6,2,y
6739,35,0.4,0,4,0.0,6,3,n
7172,44,0.63,0,3,0.0,3,2,n
1984,49,0.69,1205,2,0.147,5,3,y
5620,44,0.63,781,3,0.059,6,3,n
6241,76,0.767,1482,2,0.254,6,3,y
3259,53,0.514,1115,2,0.035,4,3,y
3221,36,1.571,1054,3,0.094,5,3,y
8296,80,0.667,1780,3,0.473,2,3,y
8767,57,0.295,687,3,0.02,2,3,n
1407,48,0.846,1385,2,0.6,3,2,y
7290,45,0.5,0,1,0.0,6,3,n
865,35,0.842,0,3,0.0,2,1,n
4757,60,0.579,801,2,0.557,4,2,y
7576,79,0.795,1059,3,0.62,6,2,y
1504,41,0.864,0,4,0.0,6,3,y
5240,28,0.474,2517,3,0.852,4,2,n
2226,37,0.48,2517,2,0.92,6,2,y
1308,32,0.6,1392,3,0.231,3,3,y
65,32,0.6,1515,4,0.044,4,1,y
4950,66,0.784,1694,3,0.127,4,3,y
2324,54,0.636,1389,1,0.761,4,3,y
3285,42,0.355,0,4,0.0,2,3,n
7216,40,0.429,0,4,0.0,2,3,n
1342,29,0.318,1515,4,0.069,3,1,y
4732,68,0.545,0,3,0.0,3,3,y
7164,63,0.537,2517,1,0.476,6,1,y
6023,81,0.688,0,2,0.0,6,6,y
6204,47,0.469,0,3,0.0,6,3,n
7266,52,0.677,1837,6,0.806,3,4,n
8382,80,0.905,841,1,0.254,2,3,y
3067,69,0.683,1444,3,0.408,6,1,y
3589,49,0.581,0,2,0.0,3,3,n
6913,44,0.419,0,2,0.0,3,3,n
9817,70,0.892,1473,2,0.358,1,1,n
6237,54,0.385,0,1,0.0,5,3,n
2228,27,0.421,906,3,0.125,2,3,n
4163,37,0.48,1120,3,0.203,3,2,n
21,16,0.6,0,3,0.0,2,3,n
2795,57,0.629,1223,3,0.241,5,2,y
343,13,0.182,537,3,0.373,2,4,n
3536,67,0.558,0,2,0.0,5,3,y
5155,45,0.5,0,3,0.0,5,3,n
8735,49,0.815,2517,1,0.097,1,2,n
4948,38,0.462,979,4,0.086,6,3,n
3275,35,0.667,2517,1,0.685,2,3,n
7071,41,0.952,2013,3,0.843,6,1,n
9029,88,0.833,1612,2,0.689,2,3,y
6388,43,0.483,0,3,0.0,5,2,n
2567,83,0.93,0,3,0.0,4,3,y
6957,54,0.742,2517,3,0.238,4,3,n
5424,79,0.646,0,1,0.0,4,1,y
4949,41,0.64,1214,1,0.766,6,3,n
5313,33,0.435,0,2,0.0,4,3,n
9869,66,0.692,2517,3,0.183,6,3,n
8201,61,0.694,0,4,0.0,1,3,n
7674,79,0.717,0,2,0.0,6,3,y
1839,52,0.857,896,2,0.445,6,1,y
8389,50,0.562,1790,4,0.802,1,3,n
184,50,1.083,1251,2,0.059,2,1,y
4451,39,0.393,0,5,0.0,4,2,n
1905,22,0.0,0,4,0.0,2,4,n
6373,53,0.472,0,3,0.0,3,3,n
4887,46,0.484,0,4,0.0,1,2,n
7259,76,0.767,807,3,0.4,6,2,y
2332,38,0.407,1960,2,0.234,1,4,n
5734,44,0.833,2517,5,0.608,3,2,n
8578,87,1.023,1465,1,0.42,1,2,y
6043,82,0.708,1549,3,0.372,3,2,y
9030,103,0.635,0,1,0.0,2,2,y
6591,43,0.344,2396,2,0.858,3,2,n
8425,42,0.5,0,2,0.0,5,3,n
7466,42,0.312,0,4,0.0,3,3,n
7247,91,0.625,0,2,0.0,3,3,y
3398,42,0.355,0,2,0.0,2,3,n
3653,44,0.571,0,4,0.0,3,3,n
4062,75,0.471,1362,2,0.269,6,3,y
1844,31,1.067,560,2,0.035,3,3,y
8655,84,0.826,1359,1,0.164,3,2,y
8379,38,0.267,0,4,0.0,1,3,n
7274,83,0.766,2422,1,0.831,6,2,y
5381,47,0.621,238,3,0.102,6,3,n
3732,39,0.696,2245,4,0.564,2,5,n
9299,61,0.694,0,2,0.0,2,3,n
6075,69,0.643,1643,1,0.701,6,1,y
8834,90,0.731,1802,1,0.166,1,3,y
8784,59,0.639,0,2,0.0,6,1,n
7992,80,0.86,1081,1,0.461,1,2,y
4370,80,0.702,0,4,0.0,5,4,y
4741,83,0.804,1647,2,0.628,5,3,y
7273,45,0.406,0,1,0.0,2,3,n
7189,41,0.414,0,3,0.0,3,3,n
4901,53,0.71,2517,3,0.708,4,3,n
7307,47,0.516,577,2,0.323,4,2,n
411,35,1.333,913,1,0.36,4,1,y
9493,71,0.69,913,3,0.247,1,2,n
5922,58,0.706,0,4,0.0,5,2,n
9218,67,0.811,1847,2,0.119,6,3,n
4666,32,0.778,2517,4,0.663,2,2,n
3299,76,0.81,1198,4,0.727,3,1,y
5857,44,0.833,0,2,0.0,1,3,n
9439,93,0.722,1617,3,0.047,1,1,y
7065,40,0.739,0,2,0.0,2,6,n
7390,42,0.273,744,3,0.098,4,3,n
9557,64,0.641,0,2,0.0,2,2,n
3049,44,0.333,0,6,0.0,2,2,n
6595,70,0.75,0,3,0.0,6,3,y
3688,33,0.571,1779,3,0.307,6,3,y
2331,73,0.622,663,1,0.461,3,3,y
580,17,0.308,0,3,0.0,5,3,n
1878,27,0.35,0,4,0.0,3,4,n
4195,35,0.4,2514,4,0.896,3,1,n
4357,62,0.55,0,4,0.0,3,3,y
6526,79,0.837,1650,2,0.661,5,2,y
8067,43,0.303,897,1,0.059,6,2,n
5234,59,0.639,1474,1,0.542,4,2,y
6741,90,0.667,666,3,0.463,3,3,y
1648,41,0.577,2517,3,0.334,5,3,y
608,37,0.85,2104,3,0.128,4,2,y
3150,46,0.769,0,1,0.0,5,3,n
2389,40,0.905,772,4,0.537,4,3,y
6942,53,0.472,0,3,0.0,5,3,n
7659,76,0.767,2290,3,0.983,5,1,y
5852,39,0.444,2262,4,0.837,4,3,n
5573,78,0.814,1623,3,0.601,3,3,y
2019,12,0.2,2517,4,0.812,2,3,n
3515,81,0.588,1227,2,0.078,3,2,y
3772,46,0.769,0,4,0.0,1,3,n
5886,44,0.419,0,3,0.0,6,4,n
5638,70,0.667,0,2,0.0,3,3,y
9492,77,0.974,1253,6,0.265,1,3,n
8037,89,0.816,1539,3,0.581,1,2,y
5343,55,0.833,0,3,0.0,5,3,n
1749,53,0.656,1699,2,0.717,5,3,y
811,31,0.55,1669,1,0.645,3,2,y
9187,65,0.548,581,2,0.094,1,1,n
4849,77,0.54,739,4,0.514,4,2,y
5341,42,0.273,0,3,0.0,6,2,n
1036,14,0.556,0,1,0.0,5,2,n
8078,70,0.667,1198,3,0.035,1,2,y
4144,44,0.375,1506,4,0.329,1,3,n
2046,49,0.4,1220,3,0.076,6,2,y
1079,34,0.417,1613,2,0.672,3,3,y
8520,40,0.739,2517,3,0.977,2,4,n
7998,32,0.0,2517,5,0.779,2,2,n
1148,37,0.609,1532,2,0.297,6,1,y
5105,48,0.6,576,1,0.4,4,3,n
2178,36,0.44,2156,4,0.793,6,1,y
5388,50,0.471,0,2,0.0,6,3,n
4842,76,0.767,771,2,0.359,5,3,y
3539,63,0.75,0,1,0.0,4,1,y
5413,42,0.5,0,3,0.0,6,3,n
2641,28,0.647,1813,0,0.533,5,1,y
3800,46,0.394,193,3,0.012,3,2,n
8576,54,1.0,0,3,0.0,6,4,n
1917,13,0.182,2389,4,0.348,3,3,n
1799,48,0.655,1405,4,0.401,6,1,y
3806,51,0.645,0,3,0.0,3,4,n
5814,39,0.393,1803,3,0.334,1,4,n
587,50,0.515,2174,1,0.063,5,1,y
6982,85,0.574,1590,2,0.596,6,2,y
3188,37,0.233,0,4,0.0,1,3,n
6645,93,0.788,1736,3,0.661,6,3,y
6168,83,0.886,922,3,0.057,4,2,y
8650,93,0.576,1337,1,0.249,3,3,y
3306,36,0.091,464,3,0.094,1,2,n
4856,39,0.393,0,3,0.0,3,3,n
8877,89,0.679,1434,3,0.247,2,2,y
170,37,1.467,1719,3,0.108,4,3,y
818,57,0.629,2265,1,0.878,3,3,y
3642,63,0.853,1942,3,0.558,4,1,y
4107,73,0.78,1548,3,0.171,5,2,y
7002,88,0.872,0,2,0.0,3,3,y
5055,47,0.621,2517,4,0.623,6,3,n
7296,36,0.565,2437,3,0.826,3,2,n
3767,77,0.878,1077,3,0.352,3,2,y
5443,39,0.625,0,2,0.0,6,4,n
8928,65,0.548,0,6,0.0,4,3,n
519,25,0.562,2137,3,0.078,3,2,n
8859,55,0.341,989,2,0.029,6,2,n
4581,43,0.593,0,2,0.0,5,2,n
4133,37,0.85,2268,4,0.139,1,2,n
2924,44,0.419,0,3,0.0,4,2,n
9002,100,0.515,1684,1,0.459,2,2,y
9917,64,1.207,0,4,0.0,4,2,n
4325,47,0.958,2517,5,0.705,2,3,n
2937,68,0.659,1630,2,0.703,6,2,y
200,42,0.75,866,0,0.164,5,3,y
632,41,0.367,1593,3,0.51,3,1,y
4117,38,0.407,0,3,0.0,3,3,n
5306,85,0.932,604,2,0.42,6,2,y
85,35,0.667,1910,0,0.619,5,3,y
9543,75,0.974,1273,3,0.051,4,3,n
911,69,0.533,1635,3,0.111,4,3,y
3086,42,0.556,0,4,0.0,3,4,n
2955,32,0.455,477,3,0.081,3,6,n
9433,113,0.823,0,2,0.0,2,1,y
9825,120,0.739,1761,3,0.534,6,3,y
5450,42,0.5,0,4,0.0,6,3,n
1976,51,0.545,1932,2,0.274,6,3,y
4895,84,0.75,806,0,0.185,5,3,y
7489,53,0.656,0,4,0.0,2,3,n
7181,72,0.6,1764,3,0.591,5,4,y
477,26,0.444,2362,2,0.82,6,6,y
5989,86,0.72,759,2,0.528,6,3,y
7853,80,0.667,1195,2,0.588,1,1,y
2871,36,0.565,1463,2,0.098,4,2,y
3044,72,1.0,0,4,0.0,3,2,y
2169,88,0.956,1453,2,0.167,6,1,y
3436,34,0.308,0,6,0.0,6,3,n
8369,86,0.72,1060,1,0.255,2,3,y
5657,73,0.698,1765,2,0.575,6,3,y
8633,80,0.509,629,1,0.088,3,3,y
3705,62,0.676,0,3,0.0,6,3,y
4639,70,0.628,2284,2,0.678,5,3,y
387,25,0.667,1617,2,0.161,3,3,y
2726,38,0.462,1558,2,0.637,6,2,y
8961,54,0.459,0,4,0.0,2,3,n
1399,35,0.667,0,2,0.0,5,1,y
3829,66,0.571,1366,2,0.683,4,1,y
5430,93,0.824,1349,1,0.22,6,2,y
4683,64,0.73,938,3,0.109,4,3,y
6602,42,0.556,691,3,0.462,5,3,n
9005,84,0.585,1250,1,0.156,1,3,y
9622,101,0.98,1796,2,0.151,3,1,y
593,21,0.75,0,3,0.0,3,4,n
8066,69,0.533,0,2,0.0,4,3,y
6650,37,0.276,2517,3,0.647,4,2,n
8888,49,0.485,0,2,0.0,4,2,n
4217,37,0.542,0,3,0.0,2,2,n
9484,117,0.746,1829,3,0.312,1,2,y
3215,50,0.923,1289,1,0.075,3,2,y
6550,81,0.558,888,1,0.396,3,2,y
4256,87,0.706,0,4,0.0,4,2,y
6547,37,0.321,0,4,0.0,4,3,n
3180,42,0.448,2517,3,0.187,1,2,n
6271,46,0.353,0,3,0.0,4,1,n
6480,47,0.469,0,4,0.0,3,1,n
4160,38,0.31,0,2,0.0,3,4,n
6212,74,0.51,1267,2,0.441,4,1,y
3328,32,0.455,0,2,0.0,3,3,n
4966,40,0.6,0,6,0.0,4,3,n
1006,28,0.75,0,3,0.0,2,2,n
8982,79,0.837,1822,3,0.141,1,2,y
1865,32,0.391,1901,4,0.492,5,1,y
7872,83,0.844,0,3,0.0,1,2,y
755,33,0.737,1758,2,0.524,4,3,y
2219,39,0.56,1092,2,0.175,3,3,y
5225,36,0.2,1424,3,0.11,1,3,n
3585,54,0.8,1377,3,0.485,4,3,y
5448,75,0.875,2138,1,0.71,4,1,y
9785,120,0.739,1171,3,0.069,1,2,y
2188,51,0.545,1670,2,0.215,5,1,y
6018,37,0.609,0,3,0.0,6,4,n
4595,59,0.735,975,4,0.467,3,3,n
8574,27,0.227,0,3,0.0,1,5,n
5851,41,0.414,528,3,0.248,5,2,n
5148,45,0.5,2199,4,0.289,4,2,n
9057,99,0.597,2118,3,0.127,1,3,y
8967,63,0.37,0,3,0.0,4,3,n
2478,67,1.03,1741,2,0.305,5,2,y
3197,33,0.222,1444,3,0.88,3,2,n
9990,126,0.8,1671,2,0.056,4,2,y
8152,41,0.367,0,5,0.0,4,3,n
4382,32,0.684,783,1,0.056,2,4,n
6477,83,0.694,1642,3,0.557,3,2,y
622,45,0.667,901,0,0.102,4,1,y
9714,75,0.667,796,2,0.023,2,1,n
8863,65,0.512,593,4,0.025,2,3,n
9573,109,0.703,2221,2,0.107,2,3,y
6378,61,0.605,1387,2,0.088,3,1,y
3252,63,0.537,2517,4,0.073,6,1,y
7932,49,0.75,0,3,0.0,2,3,n
5721,49,0.69,2517,3,0.615,3,3,n
6152,73,0.872,986,2,0.603,6,2,y
5651,67,0.718,1300,2,0.81,5,3,y
3561,52,0.625,2517,2,0.134,1,3,n
2880,77,1.081,2090,4,0.745,6,3,y
2556,33,0.32,2517,3,0.147,6,4,n
7483,41,0.519,0,5,0.0,4,3,n
2915,73,0.738,1435,5,0.102,4,1,y
1168,22,0.375,979,2,0.116,3,2,n
4795,43,0.344,2517,3,0.322,1,2,n
2181,53,0.656,1018,3,0.085,4,2,y
9504,105,0.694,0,3,0.0,2,3,y
9576,87,0.776,573,2,0.052,2,3,n
7704,43,0.303,0,3,0.0,3,3,n
8513,45,0.452,1521,3,0.914,4,3,n
601,45,0.8,845,2,0.371,3,2,y
9799,118,0.662,2209,3,0.591,1,2,y
7241,43,0.387,0,3,0.0,4,4,n
726,34,0.889,1839,2,0.053,4,1,y
10053,116,0.731,1784,2,0.254,3,2,y
4260,76,0.652,0,4,0.0,3,3,y
4085,49,0.485,377,4,0.222,3,4,n
5112,67,0.718,2065,2,0.598,5,5,y
7255,39,0.696,1707,4,0.835,6,4,n
9968,72,0.946,2418,4,0.073,4,2,n
1786,45,0.8,0,3,0.0,3,2,y
4603,41,0.414,0,2,0.0,3,3,n
5243,73,0.659,538,2,0.374,6,2,y
7018,37,0.542,799,2,0.094,5,2,n
10005,99,0.8,2179,4,0.097,6,2,y
619,37,1.056,2517,3,0.303,6,1,y
8010,71,0.972,970,1,0.09,1,3,y
8600,88,0.467,1187,2,0.074,2,3,y
294,37,2.083,1814,0,0.078,6,3,y
10124,60,0.818,0,4,0.0,5,3,n
7098,69,0.643,1346,3,0.416,6,2,y
1212,42,0.909,1303,4,0.175,3,2,y
9086,97,0.865,1568,2,0.083,2,2,y
6742,69,0.971,0,2,0.0,3,5,y
5236,36,0.385,1300,4,0.342,3,3,n
4424,39,0.696,1605,4,0.881,3,2,n
4219,59,0.735,0,2,0.0,5,2,y
5627,75,0.875,1175,3,0.606,4,3,y
5017,75,0.667,0,2,0.0,6,2,y
6115,76,0.854,0,3,0.0,3,1,y
8317,81,0.8,1057,2,0.377,1,6,y
7789,73,0.921,0,3,0.0,3,1,y
1437,55,0.774,1018,4,0.029,4,3,y
8001,93,0.788,2057,3,0.952,2,1,y
1665,18,1.0,0,4,0.0,2,2,n
2740,67,0.675,1108,1,0.203,3,3,y
2899,67,0.634,917,3,0.057,5,1,y
8506,71,0.651,1480,3,0.664,1,2,y
1382,62,0.879,1212,4,0.252,3,3,y
3810,35,0.591,0,3,0.0,6,3,n
6984,69,0.683,1430,2,0.715,6,4,y
5619,37,0.85,621,1,0.306,3,3,n
3033,36,0.286,1397,4,0.346,4,2,y
283,14,0.273,0,1,0.0,3,3,n
9726,110,0.618,0,2,0.0,2,1,y
1842,55,0.618,1308,2,0.463,4,3,y
1579,30,1.0,1118,2,0.52,4,1,y
6482,43,0.387,834,2,0.58,3,2,n
4679,70,0.458,0,1,0.0,4,3,y
9805,64,0.73,2416,2,0.293,1,2,n
4642,46,0.769,790,5,0.509,1,3,n
6294,40,0.6,0,3,0.0,5,3,n
9800,56,0.806,1983,2,0.205,1,1,n
4511,42,0.826,0,2,0.0,5,0,n
3435,82,0.708,1015,4,0.442,6,3,y
10006,82,0.907,1534,3,0.066,1,3,n
1774,72,0.674,873,4,0.059,4,3,y
4335,51,0.645,0,3,0.0,3,3,n
5027,66,0.737,2517,3,0.554,3,3,y
4593,40,0.6,0,6,0.0,6,2,n
3248,69,0.769,0,2,0.0,5,2,y
9758,73,0.78,0,3,0.0,2,2,n
1003,22,0.467,2517,2,0.675,6,2,n
1559,58,0.706,1898,3,0.305,5,3,y
5588,38,0.357,2517,4,0.282,6,3,n
9603,116,0.812,734,3,0.074,2,1,y
7673,68,0.744,2208,2,0.785,4,2,y
4229,72,0.565,1298,4,0.519,5,3,y
4619,77,0.791,1336,3,0.506,6,2,y
7921,39,0.56,0,2,0.0,5,2,n
2043,18,0.385,0,4,0.0,3,3,n
8873,86,0.623,1829,2,0.102,2,2,y
9152,57,0.462,2517,2,0.17,6,3,n
7415,41,0.577,2353,3,0.907,4,3,n
7825,55,0.618,0,3,0.0,3,3,n
1047,52,0.733,2145,3,0.352,5,2,y
7947,73,0.587,0,3,0.0,1,3,y
4924,89,0.648,0,1,0.0,6,2,y
3907,75,0.596,0,3,0.0,6,2,y
8327,53,0.71,0,4,0.0,6,3,n
4886,51,0.889,0,3,0.0,1,4,n
4459,63,0.853,1853,1,0.626,6,3,y
564,17,0.214,0,3,0.0,2,5,n
9363,82,0.708,0,1,0.0,1,6,n
3889,49,0.633,2517,4,0.814,1,2,n
6857,81,0.8,986,3,0.686,5,4,y
7377,50,0.562,0,2,0.0,6,2,n
9739,63,0.703,264,3,0.009,4,1,n
4362,41,0.64,0,5,0.0,2,3,n
7550,37,0.542,946,4,0.039,4,3,n
3207,71,0.543,1319,3,0.106,3,3,y
846,26,0.529,0,3,0.0,5,2,n
9841,131,0.795,2253,3,0.065,4,2,y
10017,114,0.781,0,0,0.0,3,3,y
9793,58,0.487,0,3,0.0,4,3,n
6218,42,0.5,0,3,0.0,4,2,n
9108,94,0.88,846,3,0.025,1,1,y
1627,61,0.848,1717,3,0.771,5,2,y
816,28,0.333,350,4,0.037,2,3,n
1303,55,0.447,1968,2,0.205,6,1,y
5605,44,0.467,2488,3,0.126,4,3,n
8684,83,0.729,2138,2,0.94,3,2,y
7333,50,0.429,0,4,0.0,4,3,n
6103,56,0.436,2517,4,0.584,5,3,n
3775,70,0.556,1204,2,0.087,6,2,y
6083,36,0.125,0,3,0.0,3,6,n
5317,68,0.581,1573,3,0.602,4,3,y
5067,45,0.452,0,4,0.0,5,2,n
9238,112,0.778,2239,1,0.329,2,3,y
5374,49,0.885,1835,3,0.188,6,6,y
1968,45,0.552,0,4,0.0,2,2,n
7081,43,0.344,0,2,0.0,3,3,n
1427,64,1.0,1397,4,0.365,3,2,y
1256,30,2.0,1898,2,0.616,4,3,y
10103,77,0.791,0,4,0.0,4,3,n
1350,30,0.111,0,2,0.0,3,1,n
2774,73,0.659,1572,4,0.299,5,3,y
5988,65,1.321,1915,3,0.055,4,3,y
4192,33,0.375,0,3,0.0,2,2,n
9791,111,1.018,1823,1,0.119,2,3,y
7001,68,0.7,813,2,0.465,3,1,y
652,31,0.55,1676,3,0.068,5,2,y
3900,76,0.617,1257,2,0.06,4,2,y
1202,31,0.409,0,2,0.0,3,3,n
8110,43,0.483,351,3,0.215,6,4,n
1320,50,0.515,1063,3,0.17,3,3,y
2258,60,0.364,0,4,0.0,3,2,y
9646,128,0.778,1871,2,0.15,3,3,y
9961,106,0.71,2305,4,0.067,4,1,y
5677,40,0.481,2137,3,0.828,3,3,n
5943,41,0.414,706,3,0.158,3,5,n
6377,59,1.034,0,2,0.0,5,3,y
887,27,1.25,0,3,0.0,2,1,n
7696,69,0.643,1980,1,0.528,6,2,y
6866,81,1.025,0,2,0.0,6,2,y
2785,46,0.586,651,4,0.273,2,6,n
8752,59,0.639,1606,2,0.678,5,3,n
8031,41,0.464,0,3,0.0,4,3,n
9888,84,0.909,0,3,0.0,2,4,n
9660,115,0.855,1299,1,0.065,3,2,y
5039,70,0.489,0,2,0.0,6,3,y
8146,44,0.63,0,3,0.0,4,2,n
4435,35,0.458,0,3,0.0,1,2,n
3905,33,0.32,0,3,0.0,4,4,n
8267,41,0.367,2426,0,0.831,2,3,n
2601,49,0.441,2130,4,0.557,4,1,y
6584,61,1.033,2220,3,0.87,6,2,y
1492,35,1.059,1267,3,0.602,4,1,y
7569,28,0.474,0,4,0.0,3,3,n
6491,39,0.5,0,4,0.0,1,3,n
2379,61,0.694,0,4,0.0,3,1,y
9400,87,1.122,0,2,0.0,1,2,n
4414,43,0.483,0,4,0.0,3,3,n
6506,45,0.364,0,1,0.0,4,3,n
8554,46,0.586,0,3,0.0,6,3,n
7667,45,0.406,493,3,0.102,3,3,n
8505,54,0.742,2517,2,0.665,6,3,n
9553,119,0.75,2136,3,0.062,2,3,y
8167,50,1.083,2517,4,0.591,1,4,n
3611,69,0.683,1291,2,0.461,3,1,y
9530,54,0.862,0,2,0.0,2,4,n
9147,100,0.786,2517,1,0.262,2,2,y
6171,77,1.2,2196,2,0.704,3,1,y
6288,90,0.837,1379,1,0.114,3,3,y
8700,60,0.395,0,2,0.0,2,3,n
4431,67,0.763,2517,1,0.348,4,2,y
9026,73,0.698,2477,3,0.328,2,3,n
8177,35,0.296,0,3,0.0,2,3,n
4051,52,0.733,1426,3,0.671,6,2,y
5817,45,0.406,671,3,0.353,5,3,n
1290,35,1.059,2028,2,0.136,5,2,y
2576,49,0.485,1535,2,0.968,4,3,y
5648,39,0.393,0,2,0.0,4,3,n
5182,53,0.656,2384,4,0.887,5,3,n
8880,59,0.372,2415,3,0.222,5,3,n
8723,97,0.54,1705,3,0.622,2,1,y
4286,43,0.536,2297,4,0.067,2,4,n
5694,41,0.577,278,3,0.011,5,4,n
6419,41,0.577,0,3,0.0,5,2,n
10057,116,0.706,1368,4,0.063,5,3,y
6718,86,0.72,1678,1,0.651,4,2,y
5247,28,0.273,0,4,0.0,1,2,n
2464,30,0.429,753,5,0.145,5,1,y
7535,81,0.653,1373,1,0.588,3,3,y
5966,36,0.8,0,3,0.0,6,4,n
6131,37,0.423,0,3,0.0,3,6,n
3996,76,0.854,1751,4,0.768,6,4,y
6434,63,0.5,0,3,0.0,4,2,n
6137,86,0.955,1812,3,0.662,5,3,y
4302,42,0.448,0,4,0.0,5,0,n
7783,52,0.529,0,2,0.0,2,2,n
4153,38,0.31,0,4,0.0,5,3,n
1289,45,0.667,2517,4,0.105,3,2,y
9578,76,0.949,0,3,0.0,2,3,n
8847,93,0.5,1950,3,0.701,1,3,y
8227,48,0.846,0,3,0.0,1,2,n
8665,51,0.457,1273,3,0.037,2,3,n
3727,70,0.795,783,4,0.544,6,3,y
7185,69,0.725,860,1,0.079,6,1,y
7939,81,0.473,603,1,0.173,2,2,y
5122,59,0.967,869,3,0.604,5,1,y
8681,82,0.708,1302,3,0.063,2,3,y
9577,105,0.78,0,1,0.0,2,3,y
4332,89,0.712,814,3,0.25,5,3,y
1707,26,0.368,0,4,0.0,1,3,n
8268,49,0.75,0,3,0.0,5,3,n
120,13,0.625,1023,2,0.03,3,2,y
4255,51,0.545,0,3,0.0,3,3,n
3950,44,0.375,1553,3,0.077,3,4,n
2897,63,0.75,2517,2,0.942,6,1,y
8879,91,0.625,1509,3,0.044,2,1,y
4430,59,0.639,0,2,0.0,3,2,y
4367,38,0.226,1252,4,0.116,6,3,n
1924,78,0.625,1640,3,0.067,5,2,y
9519,120,0.69,824,1,0.218,1,3,y
9513,67,0.763,2517,2,0.073,2,3,n
1005,24,0.5,916,3,0.138,2,2,n
1120,23,0.643,1408,3,0.181,3,1,n
6726,71,1.088,0,3,0.0,4,2,y
6411,44,0.63,0,3,0.0,3,3,n
6179,55,0.618,1472,2,0.432,3,2,n
8130,78,0.773,0,3,0.0,2,3,y
4900,49,0.531,0,3,0.0,4,2,n
8204,57,0.541,1614,5,0.6,5,3,n
964,36,0.714,1394,2,0.36,3,3,y
4378,77,0.638,1417,4,0.041,6,3,y
2672,69,0.816,1090,1,0.224,3,2,y
1848,76,0.689,0,4,0.0,5,3,y
4788,38,0.31,0,2,0.0,5,1,n
8562,88,0.6,2517,3,0.876,1,2,y
6238,86,0.83,1651,2,0.664,3,2,y
1789,50,0.852,1864,4,0.913,6,1,y
9447,113,0.687,992,2,0.03,1,1,y
2667,62,0.59,1950,5,0.432,5,2,y
158,24,2.429,0,2,0.0,4,3,y
3507,81,0.841,2081,2,0.262,4,2,y
5948,66,0.833,1196,1,0.504,6,2,y
2940,80,0.739,0,4,0.0,5,2,y
2426,47,0.958,1393,2,0.215,6,1,y
1251,24,0.263,0,3,0.0,3,2,n
7193,48,0.5,0,6,0.0,5,3,n
8507,42,0.556,795,2,0.219,2,3,n
8226,79,0.612,1896,3,0.642,1,3,y
3085,40,0.6,1393,3,0.246,5,1,y
140,18,0.8,0,3,0.0,1,3,n
4427,74,0.721,803,2,0.078,4,2,y
2618,71,0.479,0,2,0.0,3,3,y
5420,82,0.708,512,1,0.356,3,1,y
1856,76,0.689,1897,4,0.283,6,3,y
11,26,1.364,1587,3,0.174,6,2,y
1227,55,0.571,680,2,0.473,6,1,y
6517,67,0.595,1826,3,0.655,5,3,y
8051,40,0.429,0,3,0.0,5,3,n
4814,85,0.848,2517,3,0.678,5,2,y
475,25,0.562,0,2,0.0,3,3,n
9549,106,0.767,1608,3,0.158,1,2,y
230,12,0.714,1025,3,0.713,4,4,n
7574,86,0.654,1759,2,0.291,3,1,y
3692,41,0.708,1966,1,0.951,1,3,n
61,15,0.5,0,4,0.0,2,4,n
